name,status,period,links
Jonathan Stenberg,"Co-supervisor, Railway bridge dynamics, train-track-bridge interaction",2023 - 2025,lic 2025|https://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-363196
Seyed Amin Hosseini Tehrani,"Co-supervisor, Railway bridge dynamics, soil-structure interaction",2022 -,lic 2024|https://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-353701;KTH|https://www.kth.se/profile/saht;Google Scholar|https://scholar.google.com/citations?user=kO4Z4rQAAAAJ&hl=en
Dongyun Liu,"Trafikverkets project coordinator, Characterisation of dynamic loads on noise barriers, part 1",2020 -,link|https://www.ltu.se/en/research/research-subjects/structural-engineering/research-areas/structures/structures/2024-05-08-characterization-of-train-induced-aerodynamic-loads-on-railway-noise-barriers;lic 2023|https://urn.kb.se/resolve?urn=urn:nbn:se:ltu:diva-101574
Alireza Ahmadi,Reference group member,2020 - 2025,lic 2023|https://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-326684;PhD 2025|https://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-372016;KTH|https://www.kth.se/profile/alahmadi;Google Scholar|https://scholar.google.com/citations?user=ct2nqKoAAAAJ&hl=en
Reza Allahvirdizadeh,"Co-supervisor, Railway bridge dynamics, reliability-based assessment methods",2019 - 2024,lic 2021|http://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-301318;PhD 2024|https://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-344610;KTH|https://www.kth.se/profile/rezaal;ResearchGate|https://www.researchgate.net/profile/Reza-Allahvirdizadeh;Google Scholar|https://scholar.google.com/citations?user=Ef7qqwkAAAAJ&hl=en
Daniel Colmenares,"Co-supervisor, Footbridge dynamics (BBT 2017-004 and BBT 2020-023)",2019 - 2023,lic. 2021|http://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-290917;PhD 2023|https://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-338779;KTH|https://www.kth.se/profile/dancol;ResearchGate|https://www.researchgate.net/profile/Daniel-Colmenares-5;Google scholar|https://scholar.google.com/citations?user=LgqFzc8AAAAJ&hl=en
Abbas Zangeneh Kamali,"Co-supervisor, Railway bridge dynamics, soil-structure interaction",2018 - 2021,lic. 2018|http://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-224313;PhD 2021|http://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-293932;KTH|https://www.kth.se/profile/abbaszk;ResearchGate|https://www.researchgate.net/profile/Abbas-Zangeneh-2;Google Scholar|https://scholar.google.com/citations?user=A30U27QAAAAJ&hl=en
Jannik Theyssen,Reference group member,2017 - 2022,lic 2020|https://research.chalmers.se/publication/517062;PhD 2022|https://research.chalmers.se/publication/533033;link|https://research.chalmers.se/person/jannik;Google Scholar|https://scholar.google.com/citations?user=XTOFvmAAAAAJ&hl=en
Emil Aggestam,Trafikverkets project coordinator. Design criteria for ballastless tracks,2016 - 2021,lic 2018|https://research.chalmers.se/en/publication/502960;PhD 2021|https://research.chalmers.se/en/publication/523827;link|https://research.chalmers.se/en/person/aggestam;Google Scholar|https://scholar.google.se/citations?user=C4ZImlkAAAAJ&hl=en
Johan Lind Östlund,"Co-supervisor, Railway bridge dynamics, soil-structure Interaction",2016 - 2020,lic. 2020|http://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-279651;KTH|https://www.kth.se/profile/joost/;ResearchGate|https://www.researchgate.net/profile/Johan-Lind-Oestlund;Google Scholar|https://scholar.google.com/citations?user=EIAh3VYAAAAJ&hl=sv
Emma Zäll,"Co-supervisor, Dynamic response of pedestrian bridges due to vertical human-structure interaction",2016 - 2018,lic. 2018|http://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-224527;ResearchGate|https://www.researchgate.net/profile/Emma-Zaell
Therese Arvidsson,"Co-supervisor, Railway bridge dynamics, train-track-bridge interaction",2016 - 2018,lic. 2014|http://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-144843;PhD 2018|http://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-225117;ResearchGate|https://www.researchgate.net/profile/Therese-Arvidsson;Google Scholar|https://scholar.google.com/citations?user=NZpxzY4AAAAJ&hl=en
Sarah Tell,"Co-supervisor, Viscous dampers for vibration mitigation on railway bridges",2014 - 2021,lic. 2017|http://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-205672;PhD 2021|http://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-288893;ResearchGate|https://www.researchgate.net/profile/Sarah-Tell-2
